column totals (tokens): {'ALL': '2,419,171', 'ZATSU': '1,659,893', 'YODAN': '450,102', 'KAIGI': '259,430', 'JUGYO': '49,746', 'JITAKU': '509,188', 'SHOKUBA': '485,219', 'KOKYOSHO': '808,964', 'MALE': '1,111,913', 'FEMALE': '1,307,258'}

== per 1000 words, by environment ==
marker          ALL     ZATSU     YODAN     KAIGI     JUGYO    JITAKU   SHOKUBA  KOKYOSHO      MALE    FEMALE
か            26.01     25.63     26.99     27.33     23.20     23.71     28.41     26.47     24.83     27.02
の            44.49     44.70     43.87     44.08     45.05     44.76     44.25     44.41     45.25     43.84
ね            25.72     26.64     24.36     23.18     20.69     25.02     24.17     26.08     22.66     28.33
よ            14.24     15.61     12.56      9.81      6.59     15.72     10.77     14.11     14.58     13.95
な             6.19      6.41      5.62      6.07      4.72      6.62      5.62      5.98      6.95      5.54
だ            47.56     48.78     47.28     41.99     38.48     48.75     42.41     48.42     48.07     47.13
です           12.30     10.57     14.04     18.86     19.86      6.74     20.66     13.47     13.99     10.86
ます            5.41      4.31      6.58      9.23     11.64      2.70      8.84      6.49      5.76      5.11
何            12.95     13.87     12.37      9.04      7.76     14.01     10.48     13.04     11.83     13.89
誰             0.57      0.63      0.38      0.54      0.24      0.71      0.45      0.50      0.55      0.58
どう            1.96      1.78      2.09      2.88      2.11      1.92      2.40      1.77      2.14      1.81
どんな           0.12      0.11      0.14      0.13      0.20      0.14      0.13      0.13      0.12      0.12
かしら           0.10      0.10      0.12      0.08      0.04      0.09      0.10      0.08      0.04      0.15

== raw counts ==
か           62,932    42,541    12,148     7,089     1,154    12,072    13,786    21,412    27,604    35,328
の          107,623    74,199    19,748    11,435     2,241    22,791    21,471    35,927    50,314    57,309
ね           62,223    44,214    10,966     6,014     1,029    12,739    11,727    21,099    25,192    37,031
よ           34,443    25,916     5,655     2,544       328     8,002     5,226    11,415    16,208    18,235
な           14,977    10,636     2,530     1,576       235     3,369     2,729     4,841     7,732     7,245
だ          115,060    80,970    21,283    10,893     1,914    24,822    20,580    39,173    53,449    61,611
です          29,750    17,552     6,318     4,892       988     3,432    10,027    10,898    15,554    14,196
ます          13,085     7,150     2,961     2,395       579     1,377     4,288     5,247     6,407     6,678
何           31,320    23,020     5,569     2,345       386     7,134     5,085    10,547    13,158    18,162
誰            1,370     1,046       171       141        12       359       219       405       606       764
どう           4,748     2,956       940       747       105       980     1,166     1,434     2,385     2,363
どんな            287       179        63        35        10        71        63       106       129       158
かしら            246       172        52        20         2        47        48        62        49       197
